Date,Real Home Price Index
1890.0,100.0
1891.0,88.01179105656392
1892.0,95.42173618250325
1893.0,92.29738548098196
1894.0,123.98048277944352
1895.0,117.45509156635747
1896.0,100.30299018534109
1897.0,106.51570280594892
1898.0,110.18413977609028
1899.0,103.8531133418475
1900.0,101.57429475419818
1901.0,87.3260955025929
1902.0,100.47364450144372
1903.0,93.07489238475267
1904.0,101.85435896630196
1905.0,87.24854752789749
1906.0,103.52516731881617
1907.0,109.31652066458433
1908.0,100.81918235205104
1909.0,95.3804137858177
1910.0,93.1106367072284
1911.0,97.54333604485521
1912.0,102.36516183529952
1913.0,95.40856079923094
1914.0,96.9771636978956
1915.0,88.14876379786153
1916.0,93.72485164834045
1917.0,85.00903741862217
1918.0,75.56662106329529
1919.0,70.51379535554896
1920.0,66.07414907003694
1921.0,65.61430847947112
1922.0,74.79619714101763
1923.0,76.35007781532083
1924.0,74.28697788319552
1925.0,78.16282020753616
1926.0,72.4906015524438
1927.0,71.3803012109625
1928.0,73.28212987318128
1929.0,72.61432987989275
1930.0,69.49191369505738
1931.0,68.64520320702393
1932.0,68.3371935122121
1933.0,72.86594697645333
1934.0,73.27941112856544
1935.0,78.06999902861965
1936.0,79.41489504934907
1937.0,79.71761780681187
1938.0,78.46465293653384
1939.0,78.54968493492918
1940.0,81.73080632803106
1941.0,73.81588342928298
1942.0,68.50282682878372
1943.0,70.92297420081695
1944.0,80.30899578637265
1945.0,87.75004612093751
1946.0,106.50589550863113
1947.0,109.32967071418366
1948.0,101.22257950824535
1949.0,100.04660762637596
1950.0,105.89483934250829
1951.0,103.89866872416337
1952.0,103.97432747997286
1953.125,114.71330928920199
1953.375,115.06859634855687
1953.625,114.65067005952098
1953.875,113.8451587802784
1954.125,114.31229057769039
1954.375,114.69474951744463
1954.625,115.01494007797587
1954.875,115.62041813384218
1955.125,115.92071975917248
1955.375,115.12431786769727
1955.625,115.97305379723173
1955.875,115.54192720318999
1956.125,115.04738518083417
1956.375,114.1805437963869
1956.625,114.29578216105507
1956.875,113.79424626429815
1957.125,114.45199308250254
1957.375,114.44923167653637
1957.625,112.831574691709
1957.875,113.66643650962764
1958.125,112.84587826830968
1958.375,112.53287326619758
1958.625,111.6152673880171
1958.875,111.79709712424646
1959.125,111.24864789659665
1959.375,111.53379638992367
1959.625,110.56758383376754
1959.875,110.45832379264253
1960.125,110.91595148288056
1960.375,109.92370852929733
1960.625,109.79180332595949
1960.875,109.64957451455453
1961.125,109.45136487154195
1961.375,109.25315522852938
1961.625,108.99733264928112
1961.875,109.50924208730162
1962.125,109.8242632799296
1962.375,109.44900210758551
1962.625,109.32171090703669
1962.875,108.72894288319351
1963.125,109.07867858224597
1963.375,109.41822161975952
1963.625,108.85931847856953
1963.875,109.11955678083646
1964.125,109.5310336018402
1964.375,109.11049560197274
1964.625,109.05456318749171
1964.875,109.85224546785996
1965.125,110.18169117156519
1965.375,108.95318955222501
1965.625,108.45053162346962
1965.875,109.26365971434205
1966.125,109.51444290887802
1966.375,108.07518856993205
1966.625,107.51915628387295
1966.875,106.67871922086582
